index,status,title,slug,sku,verificationStatus,managedImageCount,legacyImageUrlCount,managedImageUrls,legacyImageUrls,sourceUrl
41,MANAGED_MULTI_REVIEW,Curved Feeding Needles,curved-feeding-needles,FNC-14-3-2,UNVERIFIED,3,4,https://cdn.sanity.io/images/9b5twpc8/production/2b9b651c717412bd5aeddbf64b691a8c4e51ed74-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/0dfe48d6acd46e2ca6c8e62ada341ab696839c4d-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/3cd5b4f267bbdc9fd12b3c9e7f0bccdfa051f2ed-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/2b9b651c717412bd5aeddbf64b691a8c4e51ed74-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/0dfe48d6acd46e2ca6c8e62ada341ab696839c4d-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/3cd5b4f267bbdc9fd12b3c9e7f0bccdfa051f2ed-100x100.png | https://www.kentscientific.com/wp-content/uploads/2025/09/Feeding-Needle-curved-2-600x600.png,https://www.kentscientific.com/products/curved-feeding-needles/
42,MANAGED_MULTI_REVIEW,Cylinder Bracket,cylinder-bracket,MC-101,UNVERIFIED,5,5,https://cdn.sanity.io/images/9b5twpc8/production/d43fe98aff0b74b093f00876bc6d8bcd2a614370-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/d6a7a9b7effbdd3c6cd11e4c0c8e38cc22ff349f-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/dd4db4fa6291e0d0f360a8d5ec24104f8c5b9ce8-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/029efa6ef45b00b460175cf52812a75440816438-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/349f0d46cad4a0f721382255e445da601f05ebfb-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/d43fe98aff0b74b093f00876bc6d8bcd2a614370-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/d6a7a9b7effbdd3c6cd11e4c0c8e38cc22ff349f-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/dd4db4fa6291e0d0f360a8d5ec24104f8c5b9ce8-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/029efa6ef45b00b460175cf52812a75440816438-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/349f0d46cad4a0f721382255e445da601f05ebfb-100x100.png,https://www.kentscientific.com/products/cylinder-bracket/
43,MANAGED_MULTI_REVIEW,Disposable Sleeve Protectors for DCT-15 and DCT-20 Far Infrared Warming Pads,disposable-sleeve-protectors-for-dct-15-and-dct-20-far-infrared-warming-pads,DCT-1520P-3,UNVERIFIED,3,3,https://cdn.sanity.io/images/9b5twpc8/production/98147c0f044f8649145064497c2c5b6870e13be2-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/4d29860d7f70ea06d4a15ce3f65006ee2e7b0535-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/61442476f7176279b39390c24171b2a89663fb3c-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/98147c0f044f8649145064497c2c5b6870e13be2-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/4d29860d7f70ea06d4a15ce3f65006ee2e7b0535-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/61442476f7176279b39390c24171b2a89663fb3c-100x100.png,https://www.kentscientific.com/products/disposable-sleeve-protectors-for-dct-15-and-dct-20-far-infrared-warming-pads/
44,MANAGED_MULTI_REVIEW,Dissecting Scissors Straight 10 cm Long,dissecting-scissors-straight-10-cm-long,INS600393-4,UNVERIFIED,4,4,https://cdn.sanity.io/images/9b5twpc8/production/d5c0fee409493e76a812bae4badddd4d5ae65260-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/a13100b35209fcc1f34e1ca8ec3d70a6e106fc31-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/a2075e2e5a92248984cba05d4894f7b8b2d7dfcb-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/d08909e1c3fd841dc0909a9c5d88dbcfb75df0f1-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/d5c0fee409493e76a812bae4badddd4d5ae65260-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/a13100b35209fcc1f34e1ca8ec3d70a6e106fc31-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/a2075e2e5a92248984cba05d4894f7b8b2d7dfcb-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/d08909e1c3fd841dc0909a9c5d88dbcfb75df0f1-100x100.png,https://www.kentscientific.com/products/dissecting-scissors-straight-10-cm-long/
45,MANAGED_MULTI_REVIEW,Ear Tag Applicator,ear-tag-applicator-with-spring-1,TAG-APP,UNVERIFIED,5,5,https://cdn.sanity.io/images/9b5twpc8/production/896a8db61fd5c5fe48a46393718211266c974567-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/d2302ebd11416dc993da6494a4249ad713c5d3eb-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/a85a77cb7bda6fb93608d69e338a3e1b113f8295-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/0e53a7b030bb77f6a57d7ce50eb2097a360425c7-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/af3212d1598c567ac8f6dc7d6dd92f89529a47e8-197x148.jpg,https://cdn.sanity.io/images/9b5twpc8/production/896a8db61fd5c5fe48a46393718211266c974567-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/d2302ebd11416dc993da6494a4249ad713c5d3eb-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/a85a77cb7bda6fb93608d69e338a3e1b113f8295-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/0e53a7b030bb77f6a57d7ce50eb2097a360425c7-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/af3212d1598c567ac8f6dc7d6dd92f89529a47e8-197x148.jpg,https://www.kentscientific.com/products/ear-tag-applicator-with-spring-1/
46,MANAGED_MULTI_REVIEW,Elastic Wire Positioners,elastic-wire-positioner,SURGI-5019-3,UNVERIFIED,4,4,https://cdn.sanity.io/images/9b5twpc8/production/d54fc3ba7c70c246273889e76995ef0441367ff1-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/d08909e1c3fd841dc0909a9c5d88dbcfb75df0f1-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/a13100b35209fcc1f34e1ca8ec3d70a6e106fc31-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/071d0b671cde93232c3da4749fa3bc8150dbadf9-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/d54fc3ba7c70c246273889e76995ef0441367ff1-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/d08909e1c3fd841dc0909a9c5d88dbcfb75df0f1-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/a13100b35209fcc1f34e1ca8ec3d70a6e106fc31-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/071d0b671cde93232c3da4749fa3bc8150dbadf9-100x100.png,https://www.kentscientific.com/products/elastic-wire-positioner/
47,MANAGED_MULTI_REVIEW,Elizabethan Collars,elizabethan-collars,EC201V-10,UNVERIFIED,4,5,https://cdn.sanity.io/images/9b5twpc8/production/ebc79056725d9ded6ebe707ad988b729cb95c04f-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/743660b15607207ce3747520cdfeafc47311edf6-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/9e48b3a1814331a3c7cd199f6c58b3a6c30ec389-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/7841f062a84d8d3cbd043b23d2b5371ac79e9fcf-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/ebc79056725d9ded6ebe707ad988b729cb95c04f-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/743660b15607207ce3747520cdfeafc47311edf6-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/9e48b3a1814331a3c7cd199f6c58b3a6c30ec389-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/7841f062a84d8d3cbd043b23d2b5371ac79e9fcf-100x100.png | https://www.kentscientific.com/wp-content/uploads/2025/09/ELIZABETHAN_COLLARS_silo-2-600x600.png,https://www.kentscientific.com/products/elizabethan-collars/
48,MANAGED_MULTI_REVIEW,Endotracheal Intubation Kits,endotracheal-intubation-kits,ETI-MSE,UNVERIFIED,12,13,https://cdn.sanity.io/images/9b5twpc8/production/214ba687592311dd0c904d600d81d9ce60e53dde-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/565f2cbef07f92c1140baf41269e25335f92e1fe-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/f3c8aa8c50c91e17d5a0f164b7f9ff82e60104bd-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/9e04814e527622b50c3301ac34415172c4565130-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/87e205235db0bb4827884bff27a4f4635706719c-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/9e8edd9ab582b8aca5648aa5959c8bbfc759c291-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/7a88a14dd6a7ee95e7394fb41be6917d7928aab3-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/784a9095d3d53336bc64765843ca0fa55447e4f4-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/7eb3a62d7d05172ccf5c24c71086b5d20ca023a4-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/ac418bd6fd3abab18ba380539cded82f272ec9e7-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/9a5e47aade454004fda556f6e20698dc61fc0e8a-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/77e1d67dac71347f7952d9e792cd11383a832e25-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/214ba687592311dd0c904d600d81d9ce60e53dde-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/565f2cbef07f92c1140baf41269e25335f92e1fe-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/f3c8aa8c50c91e17d5a0f164b7f9ff82e60104bd-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/9e04814e527622b50c3301ac34415172c4565130-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/87e205235db0bb4827884bff27a4f4635706719c-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/9e8edd9ab582b8aca5648aa5959c8bbfc759c291-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/7a88a14dd6a7ee95e7394fb41be6917d7928aab3-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/784a9095d3d53336bc64765843ca0fa55447e4f4-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/7eb3a62d7d05172ccf5c24c71086b5d20ca023a4-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/ac418bd6fd3abab18ba380539cded82f272ec9e7-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/9a5e47aade454004fda556f6e20698dc61fc0e8a-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/77e1d67dac71347f7952d9e792cd11383a832e25-100x100.png | https://www.kentscientific.com/wp-content/uploads/2025/09/mouse-rat-intubation-kit-stands_2-1-600x600.png,https://www.kentscientific.com/products/endotracheal-intubation-kits/
49,MANAGED_MULTI_REVIEW,Endotracheal Tubes,endotracheal-tubes,ETT-1610,UNVERIFIED,5,8,https://cdn.sanity.io/images/9b5twpc8/production/8dac8b393f9fedaff2d59cf5b8a403fd7edfe0ba-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/77e1d67dac71347f7952d9e792cd11383a832e25-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/9e8edd9ab582b8aca5648aa5959c8bbfc759c291-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/ae0684f859ad4d51a9501e1f4db4d69bb1ecf14f-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/8230e6fb953f983015bd873f6adc48f3fc745016-300x77.jpg,https://cdn.sanity.io/images/9b5twpc8/production/8dac8b393f9fedaff2d59cf5b8a403fd7edfe0ba-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/77e1d67dac71347f7952d9e792cd11383a832e25-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/9e8edd9ab582b8aca5648aa5959c8bbfc759c291-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/ae0684f859ad4d51a9501e1f4db4d69bb1ecf14f-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/8230e6fb953f983015bd873f6adc48f3fc745016-300x77.jpg | https://www.kentscientific.com/wp-content/uploads/2025/09/ETI-16_4_5-600x600.png | https://www.kentscientific.com/wp-content/uploads/2025/09/ETI-20_4_5-600x600.png | https://www.kentscientific.com/wp-content/uploads/2025/09/ETI-22_4_5-600x600.png,https://www.kentscientific.com/products/endotracheal-tubes/
50,MANAGED_MULTI_REVIEW,External Powerbank,external-powerbank,EXT-PWRBANK,UNVERIFIED,4,4,https://cdn.sanity.io/images/9b5twpc8/production/4aaa98a48796d4bfecdcf0e2897164c860b764a3-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/315bc157f7cfc3037780183b98f10080aa04ff3c-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/48e24f4b27b41f64b2399b87fba003bf7e3fee23-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/65d2144c83df4ee746a8d786c016000d1e3f1ad1-100x100.png,https://cdn.sanity.io/images/9b5twpc8/production/4aaa98a48796d4bfecdcf0e2897164c860b764a3-700x700.png | https://cdn.sanity.io/images/9b5twpc8/production/315bc157f7cfc3037780183b98f10080aa04ff3c-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/48e24f4b27b41f64b2399b87fba003bf7e3fee23-100x100.png | https://cdn.sanity.io/images/9b5twpc8/production/65d2144c83df4ee746a8d786c016000d1e3f1ad1-100x100.png,https://www.kentscientific.com/products/external-powerbank/
