index,sanityId,title,slug,sku,sourceUrl,categoryPath,productType,isActive,recordType,verificationStatus,galleryAssetCount,galleryImageUrlCount,rawImageUrlCount,sectionCount,variantCount,optionGroupCount,officialTitle,officialSubtitle,officialSku,officialSourceUrl,officialGalleryCount,officialSectionCount,verifiedAt,notes
89,product-kent-874cd14245dac46c,McPherson Vannas Micro Scissors 8 cm Long,mcpherson-vannas-micro-scissors-8-cm-long,INS600124,https://www.kentscientific.com/products/mcpherson-vannas-micro-scissors-8-cm-long/,surgery > surgical-instruments > laboratory-scissors > micro-scissors,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
90,product-kent-ab32bca55790c636,Micro Bulldog Clamp,micro-bulldog-clamp,INS600119-2,https://www.kentscientific.com/products/micro-bulldog-clamp/,surgery > surgical-instruments > wound-closure > bull-dog-clamps,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
91,product-kent-920193c1eca52cab,Micro Dissecting Forceps Serrated Straight,micro-dissecting-forceps-serrated-straight,INS700100-2,https://www.kentscientific.com/products/micro-dissecting-forceps-serrated-straight/,surgery > surgical-instruments > forceps,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
92,prod_kent__micro-transponder-with-lancet-for-direct-implantation,Micro Transponder with Lancet for Direct Implantation,micro-transponder-with-lancet-for-direct-implantation,ID-100C-25,https://www.kentscientific.com/products/micro-transponder-with-lancet-for-direct-implantation/,rfid-transponder-system,variant,true,PRODUCT,UNVERIFIED,6,0,6,0,2,1,,,,,,,,
93,prod_kent__microvette-100-capillary-blood-collection-with-round-bottom-inner-tube-edta,Microvette® 100 Blood Collection Tubes,microvette-100-capillary-blood-collection-with-round-bottom-inner-tube-edta,MCVT100-EDTA,https://www.kentscientific.com/products/microvette-100-capillary-blood-collection-with-round-bottom-inner-tube-edta/,blood-collection,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,3,1,,,,,,,,
94,prod_kent__microvette-200-capillary-blood-collection-with-round-bottom-inner-tube-edta,Microvette® 200 Blood Collection Tubes,microvette-200-capillary-blood-collection-with-round-bottom-inner-tube-edta,MCVT200-EDTA,https://www.kentscientific.com/products/microvette-200-capillary-blood-collection-with-round-bottom-inner-tube-edta/,blood-collection,variant,true,PRODUCT,UNVERIFIED,3,0,3,0,3,1,,,,,,,,
95,prod_kent__microvette-cb-300-blood-collection-system,Microvette® CB 300 Blood Collection Tubes,microvette-cb-300-blood-collection-system,KMIC-EDTA,https://www.kentscientific.com/products/microvette-cb-300-blood-collection-system/,blood-collection,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,3,1,,,,,,,,
96,prod_kent__microvette-prepared-micro-tubes-with-screw-cap-closure-edta,Microvette® Prepared Micro Tubes,microvette-prepared-micro-tubes-with-screw-cap-closure-edta,MTSC-EDTA,https://www.kentscientific.com/products/microvette-prepared-micro-tubes-with-screw-cap-closure-edta/,blood-collection,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,3,1,,,,,,,,
97,prod_kent__mid-range-reader-usb,Mid Range Reader USB,mid-range-reader-usb,LID-575,https://www.kentscientific.com/products/mid-range-reader-usb/,rfid-transponder-system,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
98,prod_kent__miniarco-clipper,MiniARCO® Clipper Kit,miniarco-clipper,CL8787-KIT,https://www.kentscientific.com/products/miniarco-clipper/,clippers,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
99,prod_kent__mobile-cart-for-laboratory-equipment-large,"Mobile Cart for Laboratory Equipment, Large",mobile-cart-for-laboratory-equipment-large,MC-02,https://www.kentscientific.com/products/mobile-cart-for-laboratory-equipment-large/,carts,simple,true,PRODUCT,UNVERIFIED,7,0,7,0,0,0,,,,,,,,
100,prod_kent__mobile-cart-for-laboratory-equipment-small,"Mobile Cart for Laboratory Equipment, Small",mobile-cart-for-laboratory-equipment-small,MC-01,https://www.kentscientific.com/products/mobile-cart-for-laboratory-equipment-small/,carts,simple,true,PRODUCT,UNVERIFIED,7,0,7,0,0,0,,,,,,,,
101,prod_kent__mouse-handling-tunnels,Mouse Handling Tunnels,mouse-handling-tunnels,MSETUBE-AMB,https://www.kentscientific.com/products/mouse-handling-tunnels/,animal-holders,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,3,1,,,,,,,,
102,prod_kent__mouse-paw-pulse-oximeter-sensors,Mouse Paw Pulse Oximeter Sensors,mouse-paw-pulse-oximeter-sensors,MSTAT-SENSOR-MSE,https://www.kentscientific.com/products/mouse-paw-pulse-oximeter-sensors/,physiological-monitoring-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
103,prod_kent__mouse-retractor-set,Mouse Retractor Set,mouse-retractor-set,SURGI-5001,https://www.kentscientific.com/products/mouse-retractor-set/,surgery > surgical-accessories > surgical-accessories-for-surgisuite,simple,true,PRODUCT,UNVERIFIED,6,0,6,0,0,0,,,,,,,,
104,prod_kent__mouse-surgical-kit,Mouse Surgical Kit,mouse-surgical-kit,INSMOUSEKIT,https://www.kentscientific.com/products/mouse-surgical-kit/,surgery > surgical-instruments > surgical-instrument-kits,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
105,prod_kent__mousestat-jr,MouseSTAT® Jr.,mousestat-jr,MSTAT-JR,https://www.kentscientific.com/products/mousestat-jr/,physiological-monitoring > physiological-monitoring-accessories > pulse-oximetry,simple,true,PRODUCT,UNVERIFIED,12,0,12,0,0,0,,,,,,,,
106,prod_kent__mousestat-pulse-oximeter-whole-body-sensors-for-mouse-pups,MouseSTAT® Pulse Oximeter Whole Body Sensor for Mouse Pups,mousestat-pulse-oximeter-whole-body-sensors-for-mouse-pups,SPO2-9MM,https://www.kentscientific.com/products/mousestat-pulse-oximeter-whole-body-sensors-for-mouse-pups/,physiological-monitoring-accessories,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
